year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
2003,District of Columbia,11,60,568502,10.6,10.7,1.4,South,DC,NA
2003,Florida,12,1043,17004085,6.1,6.3,0.2,South,FL,South Atlantic
2003,Georgia,13,236,8622793,2.7,2.7,0.2,South,GA,South Atlantic
2003,Hawaii,15,43,1251154,3.4,3.4,0.5,West,HI,Pacific
2003,Idaho,16,54,1363380,4,4.2,0.6,West,ID,Mountain
2003,Illinois,17,460,12556006,3.7,3.7,0.2,Midwest,IL,East North Central
2003,Indiana,18,127,6196638,2,2.1,0.2,Midwest,IN,East North Central
2003,Iowa,19,38,2941999,1.3,1.4,0.2,Midwest,IA,West North Central
2003,Kansas,20,75,2723004,2.8,2.9,0.3,Midwest,KS,West North Central
2003,Kentucky,21,234,4117170,5.7,5.7,0.4,South,KY,East South Central
2003,Louisiana,22,121,4521042,2.7,2.7,0.2,South,LA,West South Central
2003,Maine,23,86,1306513,6.6,6.7,0.7,Northeast,ME,New England
2003,Maryland,24,558,5496269,10.2,9.9,0.4,South,MD,South Atlantic
2003,Massachusetts,25,588,6422565,9.2,9,0.4,Northeast,MA,New England
2003,Michigan,26,253,10041152,2.5,2.5,0.2,Midwest,MI,East North Central
2003,Minnesota,27,106,5053572,2.1,2.1,0.2,Midwest,MN,West North Central
2003,Mississippi,28,31,2868312,1.1,1.1,0.2,South,MS,East South Central
2003,Missouri,29,271,5709403,4.7,4.8,0.3,Midwest,MO,West North Central
2003,Montana,30,41,919630,4.5,4.7,0.7,West,MT,Mountain
2003,Nebraska,31,14,1738643,NA,NA,0.2,Midwest,NE,West North Central
2003,Nevada,32,244,2248850,10.8,10.8,0.7,West,NV,Mountain
2003,New Hampshire,33,92,1279840,7.2,7,0.7,Northeast,NH,New England
2003,New Jersey,34,445,8601402,5.2,5.1,0.2,Northeast,NJ,Middle Atlantic
2003,New Mexico,35,218,1877574,11.6,12,0.8,West,NM,Mountain
2003,New York,36,576,19175939,3,3,0.1,Northeast,NY,Middle Atlantic
2003,North Carolina,37,496,8422501,5.9,5.8,0.3,South,NC,South Atlantic
2003,Ohio,39,365,11434788,3.2,3.2,0.2,Midwest,OH,East North Central
2003,Oklahoma,40,254,3504892,7.2,7.5,0.5,South,OK,West South Central
2003,Oregon,41,209,3547376,5.9,5.7,0.4,West,OR,Pacific
2003,Pennsylvania,42,470,12374658,3.8,3.9,0.2,Northeast,PA,Middle Atlantic
2003,Rhode Island,44,99,1071342,9.2,9.3,0.9,Northeast,RI,New England
2003,South Carolina,45,92,4150297,2.2,2.2,0.2,South,SC,South Atlantic
2003,Tennessee,47,294,5847812,5,5,0.3,South,TN,East South Central
2003,Texas,48,791,22030931,3.6,3.6,0.1,South,TX,West South Central
2003,Utah,49,258,2360137,10.9,11.8,0.7,West,UT,Mountain
2003,Vermont,50,45,617858,7.3,7.2,1.1,Northeast,VT,New England
2003,Virginia,51,362,7366977,4.9,4.8,0.3,South,VA,South Atlantic
